,Provedor,Estado,Longitude,Latitude
29791,Claro,PA,-1.33388888888889,-48.4483333333333
29792,Claro,PA,-1.312222,-48.450833
29793,Claro,PA,-1.30181,-48.48661
29794,Claro,PA,-1.2916472222222,-48.452897222222
29795,Claro,PA,-1.30027,-48.46583
29796,Claro,PA,-1.25988,-48.46579
29797,Claro,PA,-1.1618,-48.46738
29798,Claro,PA,-1.14277,-48.45972
29799,Claro,PA,-1.12111,-48.42833
29800,Claro,PA,-1.45444,-48.47306
29801,Claro,PA,-1.43797,-48.4918
29802,Claro,PA,-1.43694,-48.48778
29805,Claro,PA,-1.4483,-48.46168
29806,Claro,PA,-1.46082,-48.48531
29808,Claro,PA,-1.4425,-48.47306
29809,Claro,PA,-1.45222,-48.4964
29810,Claro,PA,-1.4425,-48.48806
29811,Claro,PA,-1.44647,-48.4716
29812,Claro,PA,-0.59953888888889,-47.311408333333
29813,Claro,PA,-0.62222,-47.34556
29824,Claro,PA,-1.38772,-48.38191
29825,Claro,PA,-1.34136,-48.35677
29826,Claro,PA,-1.33722,-48.38472
29827,Claro,PA,-1.36128,-48.402
29828,Claro,PA,-1.35184,-48.4022
29829,Claro,PA,-1.51706,-48.69362
29838,Claro,PA,-1.35083,-48.38805
29839,Claro,PA,-1.31032,-48.47438
29840,Claro,PA,-1.36091,-48.3114
29843,Claro,PA,-1.47194,-48.47813
29844,Claro,PA,-1.46459,-48.44895
29845,Claro,PA,-1.41694,-48.4925
29846,Claro,PA,-1.40023,-48.45403
29847,Claro,PA,-1.39555,-48.39444
29848,Claro,PA,-1.29593,-48.05212
29849,Claro,PA,-2.4392694444444,-54.718319444444
29851,Claro,PA,-2.4478055555556,-54.752638888889
29852,Claro,PA,-2.4178111111111,-48.1525
29853,Claro,PA,-1.405,-48.4825
29854,Claro,PA,-1.35176,-48.476917
29856,Claro,PA,-1.351389,-48.433611
29858,Claro,PA,-1.32599,-48.43853
29859,Claro,PA,-1.07008,-48.39219
29860,Claro,PA,-1.06597,-48.33766
29861,Claro,PA,-1.42386,-48.48739
29871,Claro,PA,-1.29445,-47.9239
29873,Claro,PA,-1.295,-47.9469444444444
29895,Claro,PA,-1.36625,-48.45757
29896,Claro,PA,-1.100556,-48.400833
29917,Claro,PA,-1.30556,-48.00056
29952,Claro,PA,-2.94667,-47.44417
29973,Claro,PA,-6.74532,-51.08236
29987,Claro,PA,-8.0415388888889,-50.041697222222
29990,Claro,PA,-2.41,-48.2569
29999,Claro,PA,-1.46977,-48.4937
30001,Claro,PA,-1.361111,-48.472222
30005,Claro,PA,-1.30583,-47.93889
30207,Claro,PA,-2.2272777777778,-49.48824
30213,Claro,PA,-1.4525,-48.5
30214,Claro,PA,-1.45809,-48.4571
30215,Claro,PA,-1.44888888888889,-48.4491666666667
30216,Claro,PA,-2.98472,-47.45167
30217,Claro,PA,-6.06466,-49.90789
30218,Claro,PA,-1.27865,-47.92291
30219,Claro,PA,-1.293689,-47.892189
30226,Claro,PA,-8.26206,-49.2649
30241,Vivo,PA,-1.3302777777778,-48.475555555556
30242,Vivo,PA,-1.3911111111111,-48.421111111111
30244,Vivo,PA,-1.3969722222222,-48.386447222222
30245,Vivo,PA,-1.3429111111111,-48.363805555556
30246,Vivo,PA,-1.4268888888889,-48.455916666667
30248,Vivo,PA,-1.38444,-48.45917
30249,Vivo,PA,-1.2910555555556,-48.457472222222
30259,Vivo,PA,-1.56389,-48.76111
30260,Vivo,PA,-8.0238472222222,-50.032077777778
30261,Vivo,PA,-3.77806,-49.67667
30263,Vivo,PA,-1.615,-47.48056
30265,Vivo,PA,-5.04806,-48.60278
30267,Vivo,PA,-1.19667,-47.3775
30273,Vivo,PA,-2.4824444444444,-48.331777777778
30274,Vivo,PA,-1.77194,-47.44028
30409,Claro,PA,-1.4453,-48.42632
30413,Claro,PA,-1.39041,-48.48102
30458,Claro,PA,-5.3386388888889,-49.091519444444
30476,Claro,PA,-1.36278,-48.24167
30642,Claro,PA,-1.30389,-47.77806
30806,TIM,PA,-1.350472,-48.449194
30823,Claro,PA,-1.56586,-48.7666
30824,Claro,PA,-1.36005,-48.2606
30826,Claro,PA,-1.30197,-48.30932
30832,Claro,PA,-1.29056,-48.1503
30834,Claro,PA,-1.35187,-48.3358
30839,Claro,PA,-1.35005,-47.57426
30849,Claro,PA,-5.34881,-49.13239
30853,Vivo,PA,-1.3803888888889,-48.362555555556
30855,Vivo,PA,-2.9441944444444,-48.955861111111
30857,Vivo,PA,-3.2109166666667,-52.217666666667
30858,Vivo,PA,-7.1041388888889,-49.946222222222
30860,Claro,PA,-1.05025,-46.77141
30928,Vivo,PA,-3.8405833333333,-50.639388888889
31004,TIM,PA,-1.772028,-47.44038
31094,Claro,PA,-6.095974,-49.599357
31095,Claro,PA,-4.28719,-47.55494
31096,Claro,PA,-1.12736,-47.62559
31097,Claro,PA,-1.748056,-47.06
31098,Claro,PA,-4.4483333333333,-49.113333333333
31101,Claro,PA,-2.04694,-47.55306
31104,Claro,PA,-4.7811111111111,-48.071097222222
31105,Claro,PA,-5.53805,-48.73398
31106,Claro,PA,-6.3944444444444,-48.563611111111
31118,Claro,PA,-0.725,-48.51889
31121,Claro,PA,-1.61889,-47.48361
31122,Claro,PA,-3.76547,-49.66999
31123,Claro,PA,-3.76392,-49.68269
31124,Claro,PA,-1.20472,-46.13778
31127,Claro,PA,-5.3499055555556,-49.085086111111
31130,Claro,PA,-5.4177388888889,-49.091311111111
31234,Claro,PA,-1.72442,-48.88704
31235,Claro,PA,-1.950786,-54.741436
31236,Claro,PA,-1.51083,-48.61306
31237,Claro,PA,-1.49472,-48.708058333333
31239,Claro,PA,-1.06361,-46.7667
31242,Claro,PA,-5.1352194444444,-49.3325
31243,Claro,PA,-0.63388,-47.65305
31244,Claro,PA,-1.2075,-47.38917
31245,Claro,PA,-1.904,-55.519333
31272,Claro,PA,-3.721108,-53.733881
31273,Claro,PA,-0.849653,-48.139529
31275,Claro,PA,-5.2127777777778,-49.043333333333
31276,Claro,PA,-5.3826,-49.135472222222
31280,Claro,PA,-3.00086,-47.35831
31365,Vivo,PA,-1.333425,-48.411891666667
31373,Vivo,PA,-1.1211555555556,-48.429394444444
31380,Vivo,PA,-1.4425,-48.47306
31415,Vivo,PA,-1.45222,-48.49639
31456,Vivo,PA,-1.3644444444444,-48.309722222222
31459,Vivo,PA,-1.5217333333333,-48.702905555556
